"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","chosenAction","reward","responses"
"","image-keyboard-response","66","81428","0.0-66.0","3I2PTA7R3UG1FATEJ68FNIV2QE3QKF","A3CGQOJC28OVGN","3KA7IJSNW6RD0BQBMEBVZRQEUE8BPK","","517.1999999880791","img/food5.png","76","518.6999999880791","76","0",""
"","html-keyboard-response","67","81733","0.0-67.0","3I2PTA7R3UG1FATEJ68FNIV2QE3QKF","A3CGQOJC28OVGN","3KA7IJSNW6RD0BQBMEBVZRQEUE8BPK","","null","<img src=""img/food5.png"" style=""width:200px;border:14px solid red;"">","null","","","",""
"","image-keyboard-response","68","82705","0.0-68.0","3I2PTA7R3UG1FATEJ68FNIV2QE3QKF","A3CGQOJC28OVGN","3KA7IJSNW6RD0BQBMEBVZRQEUE8BPK","","971.5","img/food2.png","74","972.5","74","0",""
"","html-keyboard-response","69","83014","0.0-69.0","3I2PTA7R3UG1FATEJ68FNIV2QE3QKF","A3CGQOJC28OVGN","3KA7IJSNW6RD0BQBMEBVZRQEUE8BPK","","null","<img src=""img/food2.png"" style=""width:200px;border:14px solid red;"">","null","","","",""
"","image-keyboard-response","70","83792","0.0-70.0","3I2PTA7R3UG1FATEJ68FNIV2QE3QKF","A3CGQOJC28OVGN","3KA7IJSNW6RD0BQBMEBVZRQEUE8BPK","","776.3000000119209","img/food5.png","76","777.6000000238419","76","0",""
"","html-keyboard-response","71","84094","0.0-71.0","3I2PTA7R3UG1FATEJ68FNIV2QE3QKF","A3CGQOJC28OVGN","3KA7IJSNW6RD0BQBMEBVZRQEUE8BPK","","null","<img src=""img/food5.png"" style=""width:200px;border:14px solid red;"">","null","","","",""
"","image-keyboard-response","72","84654","0.0-72.0","3I2PTA7R3UG1FATEJ68FNIV2QE3QKF","A3CGQOJC28OVGN","3KA7IJSNW6RD0BQBMEBVZRQEUE8BPK","","558","img/food6.png","76","559.3000000119209","76","1",""
"","html-keyboard-response","73","84958","0.0-73.0","3I2PTA7R3UG1FATEJ68FNIV2QE3QKF","A3CGQOJC28OVGN","3KA7IJSNW6RD0BQBMEBVZRQEUE8BPK","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","",""
"","image-keyboard-response","74","85808","0.0-74.0","3I2PTA7R3UG1FATEJ68FNIV2QE3QKF","A3CGQOJC28OVGN","3KA7IJSNW6RD0BQBMEBVZRQEUE8BPK","","848.3000000119209","img/food5.png","76","849.3000000119209","76","0",""
"","html-keyboard-response","75","86112","0.0-75.0","3I2PTA7R3UG1FATEJ68FNIV2QE3QKF","A3CGQOJC28OVGN","3KA7IJSNW6RD0BQBMEBVZRQEUE8BPK","","null","<img src=""img/food5.png"" style=""width:200px;border:14px solid red;"">","null","","","",""
